TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
OKC,02/09/2017,OKC vs. CLE,W,240,118,50,106,47.2,8,27,29.6,10,13,76.9,17,34,51,24,10,5,13,23
OKC,02/06/2017,OKC @ IND,L,239,90,34,88,38.6,7,28,25.0,15,21,71.4,20,41,61,17,6,11,16,21
OKC,02/05/2017,OKC vs. POR,W,241,105,40,98,40.8,4,18,22.2,21,28,75.0,17,39,56,18,9,5,12,17
OKC,02/03/2017,OKC vs. MEM,W,240,114,38,80,47.5,13,26,50.0,25,33,75.8,16,31,47,21,7,3,20,21
OKC,02/01/2017,OKC vs. CHI,L,238,100,38,100,38.0,10,37,27.0,14,17,82.4,11,26,37,17,6,4,9,23
OKC,01/31/2017,OKC @ SAS,L,240,94,30,85,35.3,7,28,25.0,27,32,84.4,12,38,50,21,12,7,20,30
OKC,01/29/2017,OKC @ CLE,L,240,91,37,100,37.0,6,26,23.1,11,16,68.8,13,42,55,20,5,4,16,19
OKC,01/26/2017,OKC vs. DAL,W,240,109,37,72,51.4,9,22,40.9,26,36,72.2,7,36,43,13,7,2,16,17
OKC,01/25/2017,OKC @ NOP,W,240,114,42,91,46.2,10,27,37.0,20,28,71.4,12,43,55,24,6,11,16,18
OKC,01/23/2017,OKC @ UTA,W,238,97,36,83,43.4,6,20,30.0,19,25,76.0,8,37,45,17,6,6,10,23
OKC,01/18/2017,OKC @ GSW,L,240,100,38,90,42.2,8,28,28.6,16,19,84.2,13,23,36,23,11,6,18,22
OKC,01/16/2017,OKC @ LAC,L,240,98,36,85,42.4,10,30,33.3,16,19,84.2,9,27,36,18,10,4,15,15
OKC,01/15/2017,OKC @ SAC,W,241,122,40,90,44.4,9,28,32.1,33,41,80.5,17,27,44,20,14,4,19,28
OKC,01/13/2017,OKC @ MIN,L,240,86,33,85,38.8,3,20,15.0,17,21,81.0,16,31,47,19,10,2,18,21
OKC,01/11/2017,OKC vs. MEM,W,241,103,36,81,44.4,8,26,30.8,23,29,79.3,11,42,53,21,5,4,16,18
OKC,01/09/2017,OKC @ CHI,W,241,109,47,83,56.6,7,24,29.2,8,11,72.7,6,36,42,30,5,5,12,17
OKC,01/07/2017,OKC vs. DEN,W,240,121,43,89,48.3,12,36,33.3,23,29,79.3,6,43,49,23,8,11,10,20
OKC,01/05/2017,OKC @ HOU,L,239,116,41,91,45.1,12,30,40.0,22,27,81.5,16,38,54,15,6,9,9,21
OKC,01/04/2017,OKC @ CHA,L,240,112,42,96,43.8,9,30,30.0,19,23,82.6,14,37,51,22,6,3,14,31
OKC,01/02/2017,OKC @ MIL,L,241,94,36,78,46.2,9,27,33.3,13,19,68.4,8,32,40,20,7,5,10,20
OKC,12/31/2016,OKC vs. LAC,W,242,114,37,78,47.4,10,29,34.5,30,35,85.7,8,36,44,25,9,6,9,20
OKC,12/29/2016,OKC @ MEM,L,240,80,25,74,33.8,4,22,18.2,26,38,68.4,14,25,39,9,5,7,18,18
OKC,12/27/2016,OKC @ MIA,W,239,106,42,82,51.2,5,19,26.3,17,25,68.0,14,32,46,21,3,4,17,21
OKC,12/25/2016,OKC vs. MIN,W,240,112,42,82,51.2,8,24,33.3,20,24,83.3,9,33,42,26,8,4,15,24
OKC,12/23/2016,OKC @ BOS,W,239,117,41,80,51.3,11,26,42.3,24,36,66.7,10,34,44,27,5,6,13,21
OKC,12/21/2016,OKC @ NOP,W,240,121,45,88,51.1,11,28,39.3,20,24,83.3,13,36,49,22,8,6,10,20
OKC,12/19/2016,OKC vs. ATL,L,240,108,39,87,44.8,10,35,28.6,20,26,76.9,15,29,44,13,8,3,12,18
OKC,12/17/2016,OKC vs. PHX,W,240,114,41,81,50.6,7,16,43.8,25,34,73.5,10,32,42,28,12,4,13,21
OKC,12/14/2016,OKC @ UTA,L,241,89,30,82,36.6,6,19,31.6,23,27,85.2,13,25,38,14,4,3,9,18
OKC,12/13/2016,OKC @ POR,L,239,95,33,87,37.9,8,27,29.6,21,28,75.0,16,27,43,18,10,2,21,21
OKC,12/11/2016,OKC vs. BOS,W,241,99,41,83,49.4,3,21,14.3,14,27,51.9,15,34,49,17,9,7,12,9
OKC,12/09/2016,OKC vs. HOU,L,239,99,34,81,42.0,7,28,25.0,24,31,77.4,9,37,46,18,9,5,17,19
OKC,12/05/2016,OKC @ ATL,W,240,102,37,80,46.3,10,31,32.3,18,28,64.3,8,35,43,26,9,5,19,27
OKC,12/04/2016,OKC vs. NOP,W,242,101,41,89,46.1,6,28,21.4,13,26,50.0,11,48,59,24,7,5,15,15
OKC,11/30/2016,OKC vs. WAS,W,265,126,46,95,48.4,12,30,40.0,22,31,71.0,9,38,47,28,10,4,13,22
OKC,11/28/2016,OKC @ NYK,W,240,112,46,92,50.0,8,22,36.4,12,18,66.7,17,36,53,25,4,7,14,22
OKC,11/26/2016,OKC vs. DET,W,240,106,42,83,50.6,8,23,34.8,14,26,53.8,10,33,43,23,4,3,10,16
OKC,11/25/2016,OKC @ DEN,W,264,132,48,96,50.0,13,26,50.0,23,29,79.3,7,33,40,29,11,4,12,21
OKC,11/23/2016,OKC @ SAC,L,240,101,32,76,42.1,7,25,28.0,30,38,78.9,5,33,38,18,7,7,9,21
OKC,11/22/2016,OKC @ LAL,L,240,109,45,92,48.9,11,27,40.7,8,11,72.7,11,29,40,29,11,6,15,14
OKC,11/20/2016,OKC vs. IND,L,264,111,44,101,43.6,10,36,27.8,13,18,72.2,15,34,49,28,10,7,20,23
OKC,11/18/2016,OKC vs. BKN,W,239,124,49,89,55.1,7,26,26.9,19,24,79.2,10,36,46,23,9,5,16,24
OKC,11/16/2016,OKC vs. HOU,W,239,105,40,84,47.6,12,25,48.0,13,14,92.9,5,39,44,25,7,7,16,15
OKC,11/14/2016,OKC @ DET,L,240,88,33,88,37.5,5,27,18.5,17,22,77.3,13,38,51,16,3,6,15,21
OKC,11/13/2016,OKC vs. ORL,L,241,117,47,92,51.1,7,25,28.0,16,26,61.5,12,30,42,22,4,6,10,19
OKC,11/11/2016,OKC vs. LAC,L,239,108,38,88,43.2,16,28,57.1,16,19,84.2,9,36,45,21,3,1,16,27
OKC,11/09/2016,OKC vs. TOR,L,240,102,31,74,41.9,12,34,35.3,28,31,90.3,11,28,39,18,6,5,19,21
OKC,11/07/2016,OKC vs. MIA,W,239,97,37,85,43.5,9,28,32.1,14,17,82.4,10,37,47,24,8,5,16,18
OKC,11/05/2016,OKC vs. MIN,W,240,112,45,86,52.3,7,16,43.8,15,24,62.5,11,30,41,24,9,9,12,21
OKC,11/03/2016,OKC @ GSW,L,239,96,35,87,40.2,10,27,37.0,16,28,57.1,13,28,41,20,8,6,16,20
OKC,11/02/2016,OKC @ LAC,W,242,85,34,84,40.5,5,20,25.0,12,20,60.0,10,42,52,14,8,4,21,24
OKC,10/30/2016,OKC vs. LAL,W,241,113,45,95,47.4,9,26,34.6,14,17,82.4,10,35,45,29,15,6,19,22
OKC,10/28/2016,OKC vs. PHX,W,264,113,40,96,41.7,5,21,23.8,28,38,73.7,14,43,57,13,11,3,22,24
OKC,10/26/2016,OKC @ PHI,W,240,103,39,94,41.5,6,22,27.3,19,26,73.1,13,40,53,19,7,3,10,23
OKC,10/18/2016,OKC vs. DEN,W,241,97,42,93,45.2,3,14,21.4,10,15,66.7,11,39,50,25,9,5,15,28
OKC,10/16/2016,OKC vs. MIN,W,241,112,45,90,50.0,7,21,33.3,15,19,78.9,10,37,47,23,10,4,19,22
OKC,10/13/2016,OKC vs. MEM,L,239,94,28,66,42.4,14,21,66.7,24,33,72.7,8,38,46,15,3,6,28,36
OKC,10/11/2016,OKC @ DAL,L,241,109,39,96,40.6,14,36,38.9,17,24,70.8,17,37,54,24,8,4,15,27
OKC,10/05/2016,OKC @ FCB,W,239,92,33,65,50.8,5,15,33.3,21,26,80.8,6,29,35,17,11,5,25,23
